gen_id,bus_id,plant_name_kor,unit_name,unit_number,pmax_mw,gen_type
1,66,화천수력,#1,1,27.0,hydro
2,66,화천수력,#2,2,27.0,hydro
3,66,화천수력,#3,3,27.0,hydro
4,66,화천수력,#4,4,27.0,hydro
5,70,춘천수력,#1,1,31.14,hydro
6,70,춘천수력,#2,2,31.14,hydro
7,70,의암수력,#1,1,24.0,hydro
8,70,의암수력,#2,2,24.0,hydro
9,5,청평수력,#1,1,19.8,hydro
10,5,청평수력,#2,2,19.8,hydro
11,5,청평수력,#3,3,40.5,hydro
12,5,청평수력,#4,4,60.0,hydro
13,20,팔당수력,#1,1,30.0,hydro
14,20,팔당수력,#2,2,30.0,hydro
15,20,팔당수력,#3,3,30.0,hydro
16,20,팔당수력,#4,4,30.0,hydro
17,117,칠보수력,#1,1,14.4,hydro
18,117,칠보수력,#2,2,14.6,hydro
19,117,칠보수력,#3,3,6.0,hydro
20,71,강릉수력,#1,1,41.0,hydro
21,71,강릉수력,#2,2,41.0,hydro
22,70,소양강수력,#1,1,100.0,hydro
23,70,소양강수력,#2,2,100.0,hydro
24,84,충주수력,#1,1,100.0,hydro
25,84,충주수력,#2,2,100.0,hydro
26,84,충주수력,#3,3,100.0,hydro
27,84,충주수력,#4,4,100.0,hydro
28,84,충주수력,#5,5,6.0,hydro
29,84,충주수력,#6,6,6.0,hydro
30,90,안동수력,#1,1,45.0,hydro
31,90,안동수력,#2,2,45.0,hydro
32,90,임하수력,#1,1,25.0,hydro
33,90,임하수력,#2,2,25.0,hydro
34,164,합천수력,#1,1,50.0,hydro
35,164,합천수력,#2,2,50.0,hydro
36,99,대청수력,#1,1,45.0,hydro
37,99,대청수력,#2,2,45.0,hydro
38,133,주암수력,#1,1,11.25,hydro
39,133,주암수력,#2,2,11.25,hydro
40,112,용담수력,#1,1,11.05,hydro
41,112,용담수력,#2,2,11.05,hydro
