psh_group_id,gen_id,bus_id,plant_name_kor,unit_name,unit_number,pmax_mw,gen_type,gen_pmin_ratio,gen_pmin_mw,pump_pmax_mw,pump_pmin_ratio,pump_pmin_mw
1,1,5,청평양수,#1,1,200.0,psh,0.3,60.0,200.0,1.0,200.0
1,2,5,청평양수,#2,2,200.0,psh,0.3,60.0,200.0,1.0,200.0
2,3,170,삼랑진양수,#1,1,300.0,psh,0.3,90.0,360.0,1.0,360.0
2,4,170,삼랑진양수,#2,2,300.0,psh,0.3,90.0,360.0,1.0,360.0
3,5,107,무주양수,#1,1,300.0,psh,0.3,90.0,330.0,1.0,330.0
3,6,107,무주양수,#2,2,300.0,psh,0.3,90.0,330.0,1.0,330.0
4,7,171,산청양수,#1,1,350.0,psh,0.3,105.0,375.0,1.0,375.0
4,8,171,산청양수,#2,2,350.0,psh,0.3,105.0,375.0,1.0,375.0
5,9,68,양양양수,#1,1,250.0,psh,0.3,75.0,130.0,1.0,130.0
5,10,68,양양양수,#2,2,250.0,psh,0.3,75.0,130.0,1.0,130.0
5,11,68,양양양수,#3,3,250.0,psh,0.3,75.0,130.0,1.0,130.0
5,12,68,양양양수,#4,4,250.0,psh,0.3,75.0,130.0,1.0,130.0
6,13,92,청송양수,#1,1,300.0,psh,0.3,90.0,320.0,1.0,320.0
6,14,92,청송양수,#2,2,300.0,psh,0.3,90.0,320.0,1.0,320.0
7,15,86,예천양수,#1,1,400.0,psh,0.3,120.0,440.0,1.0,440.0
7,16,86,예천양수,#2,2,400.0,psh,0.3,120.0,440.0,1.0,440.0
